Number,Link,Content
1,https://perm.medsi.ru/articles/skrytaya-ugroza-zachem-i-kak-pravilno-nablyudat-za-rodinkami/,"Оглавление
Что такое родинки?
В чем опасность?
К кому и зачем обращаться?
Как предотвратить?
Источники
Периодически у каждого из нас на теле появляются новые родинки (невусы). Как к ним относиться? Так ли они безопасны, как кажется? Какие родинки нужно проверять у врача и зачем это делать?
Давайте разбираться во всех этих вопросах!
Что такое родинки?
Родинки представляют собой скопления пигмента в коже. Они могут быть выпуклыми и плоскими, крошечными и достаточно крупными. Как правило, родинки не мешают человеку, так как не доставляют никаких неприятных ощущений. К сожалению, некоторые родинки способны превращаться в злокачественные опухоли – меланомы. Именно поэтому за ними все-таки нужно периодически наблюдать.
Давайте рассмотрим особенности безопасных и опасных родинок и определим, в чем же, собственно, заключается опасность таких скоплений пигмента.
В чем опасность?
Каждый из нас периодически находится под открытыми лучами солнца. Под воздействием ультрафиолета в коже образуются свободные радикалы. Именно они приводят к повреждению клеток и их злокачественному перерождению. Так и протекает процесс, когда родинка становится меланомой.
Важно! К развитию меланомы может привести не только пребывание на солнце, но и загар в солярии.
К самому процессу появления на коже родинок не стоит относиться со страхом. Это абсолютно естественно для организма каждого из нас. Важно лишь наблюдать за состоянием родинок, их цветом, формой и размером. Для организации правильного контроля лучше обратиться к специалисту. Он выполнит съемку невусов, сохранит ее в архиве, а затем просто будет сравнивать ранние и более поздние снимки между собой.
Конечно, не стоит забывать и о самостоятельном контроле.
Обратиться к врачу нужно, если родинка:
Изменила форму и стала асимметричной
Быстро растет. Нередки случаи, когда всего за несколько месяцев невусы увеличиваются в размерах в несколько раз
Изменила границы. Если родинка стала волнистой, зубчатой, приобрела размытые края, следует забеспокоиться
Вызывает какой-либо дискомфорт. Консультация дерматолога требуется, если невус провоцирует жжение, зуд, отечность. Нормальная родинка не покрывается корочкой, не чешется и не болит
Изменила цвет. Забеспокоиться нужно, даже если изменения несущественны
Важно! Не следует забывать, что меланома сегодня диагностируется у 20–30% пациентов с невусами, которые существуют много лет и ранее не доставляли никаких неприятных ощущений. Зачастую они подвержены постоянному воздействию ультрафиолета, так как находятся на открытых участках тела (руках и ногах, лице, шее, груди).
К кому и зачем обращаться?
Врачом, который проверяет родинки, является дерматолог. Желательно обращаться к нему хотя бы 1 раз в год. Особенно актуальными консультации со специалистом являются для пациентов, родственники которых страдают от меланомы или других форм рака кожи.
В рамках контроля врач:
Обследует родинки с помощью дерматоскопа. Эта процедура заключается в изучении невусов под большим увеличением. Специалист определит границы, размеры, цвет и другие характеристики родинок
При любых подозрениях на развитие злокачественного процесса направит пациента на дополнительное обследование и консультацию онколога
Если родинка вызовет подозрения, ее удалят. Также удалению могут быть подвергнуты и невусы, которые доставляют любой дискомфорт. После процедуры ткани образования отправляют на гистологическое исследование. Оно позволит подтвердить/опровергнуть предварительный диагноз меланомы или другого вида рака кожи. Также диагностика выявляет стадию патологии.
Важно! Любые подозрительные родинки удаляются исключительно с использованием скальпеля. Другие методики (лазерная, электрокоагуляция, криодеструкция и др.) не применяются. Это обусловлено тем, что они разрушают ткани образования и не позволяют исследовать их.
Как предотвратить?
А можно ли избежать рисков перерождения нормальной родинки в злокачественное новообразование? Да!
Для защиты невусов от негативного влияния ультрафиолета достаточно сократить время пребывания на солнце в пик его активности, который обычно приходится на промежуток между 11 и 16 часами дня. Если это невозможно, нужно обязательно пользоваться специальными средствами защиты. Сегодня в продаже можно найти большое количество продуктов с SPF. Уже проведены многочисленные исследования, доказывающие, что эти средства сокращают риски развития меланомы на 18%!
Нельзя забывать и о том, что больше всего подвержены негативному воздействию ультрафиолета люди со светлой кожей. Они находятся в группе риска развития меланомы. Но это совсем не значит, что темнокожим людям можно пренебрегать средствами защиты.
Важно! Кремы и другие продукты с SPF рекомендуется использовать не только в теплое время года и солнечную погоду. Актуальны эти средства даже зимой и когда пасмурно. Дело в том, что солнце сохраняет свою активность при различных погодных условиях, а лучи ультрафиолета проникают и через облака.
Какой продукт лучше выбрать? Покупать нужно те продукты, которые соответствуют вашему типу кожи. Не играют важной роли марки и имеющиеся в составе фильтры (органические или минеральные). Обращать внимание нужно на маркировку. Идеальными являются продукты с высоким уровнем SPF и работающие против ультрафиолетовых лучей спектра A и B.
Также для защиты от ультрафиолета желательно надевать легкую одежду, скрывающую открытые участки тела, шляпы и солнцезащитные очки.
Не стоит забывать о том, что риски злокачественных перерождений невусов повышаются и при их травмировании. Поэтому нельзя пытаться самостоятельно удалить родинку. Нежелательно и травмировать невусы другими способами. Если это невозможно, лучше просто обратиться к врачу. Он подберет оптимальный способ для профессионального удаления родинки или целой группы образований.
Надеемся, что вы разобрались в том, на какие родинки нужно обратить внимание и почему, какого врача посещать для регулярного контроля. Если у вас остались вопросы, задавайте их специалистам.
Врачи МЕДСИ готовы оказать комплексную и своевременную помощь пациентам. Специалисты обеспечат необходимую диагностику и удаление родинок. Кроме того, они подберут подходящую методику вмешательства. Если родинка нормальная, ее можно убрать самыми простыми, малоинвазивными техниками.
Предварительная запись к специалистам осуществляется в удобное для пациента время. Консультации возможны без очередей, в комфортной обстановке. В МЕДСИ работают только опытные, квалифицированные врачи, применяется высокоточное оборудование для диагностики. Это обеспечивает быструю помощь даже в сложных случаях.
Автор статьи: Ефимова Ирина Александровна – врач-дерматовенеролог.
Источники:
Архипов Т. Меланома или родинка – как отличить самостоятельно?
Татузян Е. Г., Беловол А. Н., Ткаченко С. Г. Меланома: важность ранней диагностики и своевременного лечения // Дерматологія та венерологія. – 2015. – № 3. – С. 16–27.
Сергеев Ю. Ю., Мордовцева В. В., Сергеев В. Ю. Меланома кожи в практике дерматолога // Фарматека. – 2017. – Т. 17. – № 350. – С. 67–73.
Гайна Л. И. Морфология кожи при фотостарении и причины образования меланом // Молодёжь XXI века: шаг в будущее. – 2017. – С. 917–918.
Наши врачи
Ефимова Ирина Александровна
Врач-дерматовенеролог
Врач высшей квалификационной категории
Клиника МЕДСИ-ЛабДиагностика на Маршала Рыбалко"
2,https://perm.medsi.ru/articles/sovety-po-pravilnomu-ukhodu-za-kozhey-litsa/,"Оглавление
Основные негативные воздействия на кожу
Основные этапы правильного ухода за кожей
Популярные косметологические процедуры по уходу за кожей
Помогут ли коже витамины и правильное питание?
Домашние средства для ухода
Источники
Правильный уход за кожей является залогом не только ее привлекательного вида, но и молодости и здоровья. А вот как обеспечить такой уход, знают далеко не все. Давайте разбираться! Рассмотрим основные полезные советы по уходу за кожей.
Основные негативные воздействия на кожу
На состоянии кожи сказывается целый ряд различных факторов окружающей среды, в числе которых:
Ультрафиолетовое излучение
Жесткая вода
Выхлопные газы
Смог
Пыль
Низкие и высокие температуры
Важную роль играют и малоподвижный образ жизни, и нерациональное питание, а также вредные привычки и психоэмоциональные перегрузки. Нельзя не отметить влияние на кожу хронических заболеваний. Полностью исключить воздействие неблагоприятных факторов просто невозможно, а вот снизить его под силу каждому.
Соблюдая полезные советы по уходу за кожей, можно не только в целом избежать ее преждевременного старения, но и избавиться от таких проблем, как:
Сухость и шелушение
Появление морщин и пигментных пятен
Отечность
Сниженные упругость и тонус
Появление новообразований
Следует понимать, что неблагоприятные факторы окружающей среды оказывают непоправимый урон не только зрелой, но и молодой коже. В последнем случае раньше запускаются процессы старения, причем протекают они более интенсивно. В результате даже молодая женщина может выглядеть намного старше своего возраста. Одновременно с этим ранее эффективные методы домашнего ухода за кожей просто перестают работать.
Сегодня первые морщинки, например, могут появиться уже у человека в 25–30 лет. А как справиться с ними? Как устранить пигментацию и другие проблемы, а лучше – предотвратить их?
Нужно ухаживать за кожей! Давайте разбираться, как правильно это делать.
Основные этапы правильного ухода за кожей
Очищение
Очищать кожу нужно как минимум 2 раза в день (утром и вечером). Даже простое умывание позволит удалить пыль, жир, пот и другие загрязнения. Вечером нужно проводить снятие макияжа. Процедурой не следует пренебрегать, даже если вы очень устали! Для очистки лучше пользоваться мягкими средствами, которые бережно снимают косметику. К ним относят мицеллярную воду, различные пенки, гидрофильные масла.
Тонизирование
Этот этап ухода осуществляется с применением тоников. Ими лицо протирается после очищения. Тоники позволяют обеспечить не только более глубокую очистку, но и уход, так как они выравнивают текстуру и тон кожи, подготавливают ее к дальнейшим процедурам. Подбираются подходящие продукты в соответствии с особенностями кожи. Современные тоники содержат витамины, масла и другие средства, полезные для эпидермиса.
Увлажнение и питание
Эти этапы ни в коем случае нельзя пропускать, так как они являются основными. Увлажнение и питание насыщают кожу полезными веществами, делают ее более упругой и гладкой, молодой и здоровой.
Специальный уход
Его обеспечивают при наличии выраженных проблем: глубоких морщин, пигментных пятен, акне, купероза и др. Специальный уход подбирается исключительно в косметологических клиниках или медицинских учреждениях. Это обусловлено тем, что в своем составе продукты могут содержать компоненты, способные как принести пользу, так и нанести вред (различные кислоты, другие натуральные и химические ингредиенты в высоких дозировках и др.).
Важно! Подбор подходящих препаратов лучше осуществлять вместе с дерматологом. Только опытный врач точно знает, какие средства подойдут для конкретного пациента. Можно воспользоваться и полезными советами косметолога по уходу за кожей.
Популярные косметологические процедуры по уходу за кожей
К популярным процедурам по уходу за кожей, которые проводят сегодня профессионалы в различных салонах и клиниках, относят:
Мезотерапию
Биоревитализацию
Маски и пилинги
Уколы ботулотоксина
Чистки лица
Все эти процедуры выполняются с использованием специальных продуктов, инструментария и оборудования. Только опытный косметолог или дерматолог может подобрать те средства, которые подходят конкретному пациенту. Предварительно обязательно проводится осмотр кожи. При необходимости выполняются дополнительные обследования. В этом случае процедуры будут не только эффективными, но и безопасными, позволят избавиться от морщин, пигментных пятен, видимой сосудистой сеточки, неровностей, угрей и следов от них.
Подходить к проведению процедур следует достаточно осторожно. Любая из них может не только принести пользу, но и нанести вред.
Помогут ли коже витамины и правильное питание?
Большая часть специалистов сходится во мнении, что состояние кожи определяется не только внешними воздействиями, но и внутренними факторами, в числе которых как раз и присутствует правильное питание. Оно должно быть насыщено витаминами и другими микроэлементами. Если рацион человека является правильным, а состояние здоровья – нормальным, скорее всего, недостатка ценных компонентов в коже не будет. Но в некоторых случаях кожа находится в плохом состоянии именно потому, что у человека имеются определенные заболевания и он неправильно питается. Поэтому при необходимости врач может назначить специальное питание с отказом от вредных продуктов и насыщением рациона овощами, фруктами, продуктами с полиненасыщенными жирными кислотами, витаминные комплексы и другие биологически активные добавки. Также пациенту могут потребоваться и определенные лекарственные препараты.
Важно! Все средства для улучшения состояния кожи «изнутри» подбираются индивидуально. Нужно понимать, что даже банальная передозировка витаминами может стать причиной серьезных проблем со здоровьем.
Домашние средства для ухода
Конечно, каждому из нас они необходимы. Желательно пользоваться не только простыми лосьонами и кремами для увлажнения и питания, но и более эффективными сыворотками, другими продуктами. Обязательными являются и солнцезащитные средства. Их следует применять не только в теплое, но и в холодное время года, так как солнце сохраняет свою активность постоянно, а ультрафиолет каждый день воздействует на кожу, даже если на улице пасмурно.
А помогут ли народные средства?
Да, и они вполне эффективны. Овощные и фруктовые маски, например, содержат полезные питательные вещества. Но применять их нужно с особой осторожностью, так как такие средства могут стать причиной контактных дерматитов и аллергических реакций. Предварительно желательно как минимум провести банальный тест на чувствительность и нанести маску на небольшой участок кожи. Если появилась аллергическая реакция, следует тут же удалить средство и обратиться к специалисту.
Надеемся, что вы разобрались в особенностях ухода за кожей лица. Если у вас остались вопросы, задавайте их специалистам.
Врачи МЕДСИ готовы оказать комплексную и своевременную помощь всем без исключения пациентам. Специалисты дадут полезные советы по уходу за кожей, проведут диагностику. При необходимости они выполнят процедуры или порекомендуют средства для домашнего использования.
Предварительная запись к специалистам МЕДСИ осуществляется в удобное для пациента время. Консультации возможны без очередей, в комфортной обстановке. В МЕДСИ работают только опытные, квалифицированные врачи-дерматологи и применяется высокоточное оборудование для диагностики. Это обеспечивает быструю постановку диагноза и правильный уход за кожей.
Автор статьи: Казакова Оксана Павловна – врач-косметолог.
Источники:
Апряткина А. В. и др. Влияние рациона питания на состояние кожи, ее придатков и зубов // Forcipe. – 2020. – Т. 3. – № S. – С. 222–223.
Пономарева А. А. Традиционные и современные представления о кровоснабжении кожи // Журнал фундаментальной медицины и биологии. – 2018. – № 2. – С. 34–44.
Богомолова Л. С. Аналитический обзор косметологических процедур в клинике // Академическая публицистика. – С. 264.
Финаенова Э. В., Свекольникова О. Ю. Методология оценки конкурентоспособности и потребительских свойств косметических средств по уходу за кожей // Вестник Саратовского государственного социально-экономического университета. – 2018. – № 3 (72). – С. 85–89.
Наши врачи
Казакова Оксана Павловна
Врач-косметолог
Клиника МЕДСИ на Газеты «Звезда»"
3,https://perm.medsi.ru/articles/teper-ne-tolko-moloko-kak-pravilno-nachat-prikorm/,"Оглавление
Что такое прикорм и когда его начинать?
С каких продуктов начать прикорм?
С какого количества начать и когда добавлять объемы прикорма?
Есть ли особенности введения в рацион овощей и фруктов?
Как правильно давать мясо?
Когда введение прикорма откладывают?
Как отслеживать реакцию организма ребенка на прикорм?
Что еще желательно запомнить родителям перед прикормом?
Источники
Первый год жизни любого малыша является не просто насыщенным, а очень сложным для него самого и его родителей. В первые 12 месяцев организм претерпевает огромное количество изменений. В этот период органы и системы активно развиваются и совершенствуются. При этом они испытывают постоянные повышенные нагрузки. Очень важно не нарушить естественные механизмы и баланс.
Не удивительно, что вопросы питания часто выходят на первый план. Именно благодаря правильному питанию обеспечиваются процессы нормального роста и развития. Без ценных веществ организм просто не может существовать.
Сегодня существует большое количество разных мнений о питании малыша. Кто-то утверждает, что лучшим рационом является только грудное молоко и продолжать кормление следует как минимум до 1–1,5 года, а то и дольше. Кто-то уверен в том, что приучать детей к полноценному питанию следует как можно раньше.
Давайте рассмотрим вопросы, связанные с прикормом. Что это такое? Когда вводить прикорм? Какие продукты можно дать малышу первыми после грудного молока? Какой может быть реакция ребенка на первый прикорм?
Что такое прикорм и когда его начинать?
Прикорм подразумевает введение в рацион малыша продуктов, кроме грудного молока и смесей. Он занимает особое место в общей схеме питания.
Когда вводить первый прикорм грудничку?
Согласно рекомендациям НИИ питания РАМН, первый прикорм вводится с 4,5–5 месяцев. А почему именно в это время? Дело в том, что желудок и кишечник малыша приспособлены исключительно для усвоения грудного молока и жидких смесей. Любая твердая пища будет просто выталкиваться обратно из глотки и ротовой полости. Такой механизм обеспечивает элементарную защиту от проблем с дыханием и раздражением стенок органов желудочно-кишечного тракта. Рефлекс угасает постепенно и полностью исчезает к концу 4-го месяца жизни малыша. В этот же период органы желудочно-кишечного тракта и местная иммунная система подготавливаются к приему разнообразной пищи.
Важно! Если не ввести прикорм после 6 месяцев, возникнет дефицит полезных веществ. Кроме того, отсутствие дополнительного питания может замедлить формирование навыков глотания плотной пищи и ее пережевывания.
А как определить, когда пора вводить прикорм? Понаблюдайте за ребенком! Если он уже хорошо держит голову, сидит самостоятельно или с поддержкой, сам начал проявлять интерес к еде, помимо грудного молока и смесей, можно смело давать ему и твердую, плотную пищу.
С каких продуктов начать прикорм?
Как правило, прикорм начинают с каш и овощных пюре. Конечно, выбор определенных продуктов во многом зависит от особенностей развития малыша и состояния его здоровья. Сначала можно попробовать давать овощи. Они будут особенно полезны, если ребенок страдает от избыточного веса и/или запоров. При недостаточном наборе массы тела можно попробовать начать прикорм с каш.
Важно! Какой прикорм лучше вводить конкретному ребенку, скажет врач. Наблюдающий за малышом педиатр знает обо всех особенностях развития своего пациента, имеющихся у него патологических состояниях и заболеваниях.
С какого количества начать и когда добавлять объемы прикорма?
Правильный прикорм малыша начинают с малых дозировок. Обычно достаточно половины или полной чайной ложки. Затем важно наблюдать за переносимостью новой пищи, возможными аллергическими реакциями. Постепенно объем прикорма увеличивают. При этом его делают все более разнообразным.
Важно! Объемы пищи должны увеличиваться исключительно пропорционально весу ребенка и его запросом. Торопиться не следует. Но не нужно откладывать прикорм и на потом. Выше мы уже писали, чем это может быть опасно. Если малыш питается грудным молоком, не обязательно резко отказываться от этого продукта при введении прикорма. Важно понимать, что молоко и смеси могут долго оставаться для ребенка важным источником всех полезных веществ.
Есть ли особенности введения в рацион овощей и фруктов?
Итак, мы определились, с каких продуктов начинать прикорм ребенка, а как вводить в рацион фрукты и овощи? Какие из них являются наиболее безопасными?
Для первых прикормов лучше использовать кабачки, брокколи, тыкву, картофель и морковь. Важно понимать, что новые продукты не всегда нравятся малышам с первого раза. Для принятия новых овощей, например, нередко нужно сделать до 10–15 попыток.
Фрукты также вводятся постепенно и желательно не смешивать их между собой. Следует дать попробовать малышу груши, яблоки, сливы.
Важно! Фрукты в рационе особенно нужны, если у ребенка имеется такая проблема со стулом, как запор.
Как правильно давать мясо?
Мясо можно давать малышу, достигшему возраста 6 месяцев. Своевременное включение в рацион данного продукта очень важно, так как он является основным источником легкоусваиваемого организмом железа.
Вводить в рацион мясо нужно постепенно. При этом мясные продукты должны быть разнообразными. Следует дать попробовать малышу пюре из свинины, говядины, кролика, индейки и др.
Важно! При наличии у ребенка аллергии на молочный белок следует отказаться от говядины. При этом другие сорта мяса не запрещены.
Когда введение прикорма откладывают?
Правильный прикорм должен быть безопасным. В некоторых случаях обеспечить это невозможно, поэтому его откладывают.
Прикорм не вводят:
При инфекционных заболеваниях
За 3 дня до вакцинации и спустя 3 дня после нее
Во время отпусков, переездов и других волнительных периодов, связанных со сменой окружающей обстановки
Как отслеживать реакцию организма ребенка на прикорм?
После введения первого прикорма и любого последующего продукта нужно пристально следить за состоянием малыша. Насторожить должны такие симптомы, как:
Сыпь и красные пятна на коже
Отечность губ и лица в целом
Бледность кожных покровов
Трудности с дыханием
Кашель
Нарушения пищеварения с обильными срыгиваниями
Диарея
Тошнота и рвота
При этих признаках непереносимости определенных продуктов нужно незамедлительно обратиться к врачу. Если симптомы усиливаются, вызывают скорую помощь.
Важно! Новые продукты лучше не давать перед сном (особенно в вечернее время). Так можно пропустить симптомы аллергии.
Что еще желательно запомнить родителям перед прикормом?
Категорически запрещено кормить малыша насильно. Если ребенок отказался от определенных продуктов, можно попробовать дать их снова, но только спустя хотя бы несколько дней
Вместе с прикормом нужно начинать дополнительно поить малыша. Идеально подойдет для этих целей простая бутилированная вода с пометкой «детская»
Не используйте для отвлечения ребенка от процесса питания различные гаджеты. Так и в дальнейшем малыш может начать принимать пищу исключительно с электронными игрушками
Лучше давать прикорм не после основного кормления молоком или смесью, а до.
Начинать вводить в рацион различные продукты питания лучше в пюреобразном виде. В противном случае ребенок может подавиться. К мелкоизмельченной пище переходят примерно на 8–10 месяц жизни малыша
В продукты для прикорма не добавляют соль и сахар. Не ориентируйтесь на собственные вкусовые предпочтения. Ваша излишняя забота может нанести здоровью ребенка вред
До года не следует давать детям цельное молоко (растительное и коровье), а также соки из фруктов, напитки с сахаром. Опасными для малышей могут быть круглые конфеты, виноград, орехи, попкорн и др. Ребенок может поперхнуться!
Каждый родитель должен понимать, что грамотное введение прикорма является основой крепкого здоровья крохи в будущем. Процесс определяет и нормальное пищевое поведение ребенка. По этой причине к введению прикорма нужно подойти максимально ответственно. Важно не бояться и не переживать, так как переход с грудного молока или смесей к рациону взрослых является нормальным и естественным процессом.
Надеемся, что вы разобрались в особенностях правильного прикорма малыша. Если у вас остались вопросы, задавайте их специалистам.
Врачи МЕДСИ расскажут о том, в каком возрасте вводится первый прикорм здоровому ребенку или малышу с различными патологическими состояниями и заболеваниями. Специалисты ответят на все возникшие вопросы. При этом они всегда готовы контролировать состояние ребенка во время введения прикорма, рекомендовать подходящие продукты.
Консультации возможны без очередей, в комфортной обстановке. Предварительная запись к специалистам осуществляется в удобное время. В МЕДСИ работают только опытные, квалифицированные врачи, применяется высокоточное оборудование для диагностики. Это обеспечивает скорейшую помощь даже в сложных случаях. При необходимости возможны сдача анализов и проведение инструментальных обследований.
Автор статьи: Зуборева Евгения Александровна – врач-педиатр.
Источники:
Горбачевский П. Р., Парамонова Н. С., Украинцев С. Е. Прикорм: сроки введения, продукты, долгосрочные эффекты. Обзор современных данных // Pediatriya named after GN Speransky. – 2020. – Т. 99. – № 4.
Боровик Т. Э., Скворцова В. А., Нетребенко О. К. Прикорм в питании грудных детей // Педиатрия. Журнал им. Г. Н. Сперанского. – 2008. – Т. 87. – № 4. – С. 79–85.
Горячева О. А., Алёхина О. А., Горячев Д. В. Прикорм. Основные положения // Практика педиатра. – 2020. – № 1. – С. 53–55.
Боровик Т. Э. и др. Современные взгляды на организацию прикорма детей с пищевой аллергией // Вопросы детской диетологии. – 2003. – Т. 1. – № 1. – С. 79–82.
Наши врачи
Зуборева Евгения Александровна
Врач-педиатр
Детская клиника МЕДСИ на Советской"
