Number,Link,Content
1,https://spb.medsi.ru/articles/operatsiya-pri-varikotsele-metody-pokazaniya-provedenie-reabilitatsiya/,"Оглавление
Влияние патологии на здоровье
Возможные жалобы: дискомфорт, боль, интимные проблемы
А влияет ли варикоцеле на тестостерон?
Варианты хирургического лечения варикоцеле
Варикоцеле и бесплодие: какова связь?
Источники
Варикоцеле является патологией, для которой характерно варикозное расширение гроздевидного сплетения, располагающегося в зоне яичковой вены мошонки. Обычно выявляют это заболевание во время профилактических осмотров. Изменения могут быть диагностированы и пациентом, если он сталкивается с отечностью тканей, болью и другими неприятными ощущениями в мошонке.
Давайте разбираться, опасна ли патология и нужно ли лечить ее. Влияет ли варикоз вен на потенцию? Может ли варикоцеле стать причиной импотенции? Что делать, чтобы предотвратить проблему? Какие операции проводятся сегодня при выявлении патологии?
Влияние патологии на здоровье
На самом деле заболевание не несет прямой угрозы жизни и в редких случаях сопровождается выраженными симптомами. При этом уже доказано, что варикоцеле опосредованно влияет на потенцию. Немаловажно и то, что патология может стать причиной вторичного бесплодия. Варикоцеле провоцирует и раннее наступление мужского климакса.
Возможные жалобы: дискомфорт, боль, интимные проблемы
У большей части пациентов патология не приводит к выраженному дискомфорту и болевому синдрому. Лишь немногие жалуются на умеренные неприятные ощущения в мошонке при прогрессировании заболевания. При этом дискомфорт, как правило, возникает при длительной физической активности. Устранить его позволяет отдых.
При развитии тромбофлебита вен мошонки (при повышенной свертываемости крови и воспалительном процессе) боль может усиливаться.
Важно! Как правило, при выраженном болевом синдроме пациенту рекомендуют оперативные вмешательства. К сожалению, далеко не всегда они позволяют устранить неприятные ощущения в мошонке, которые провоцируются поражениями семенного канатика. В этом случае выполняют вмешательства, направленные на устранение не только варикоцеле, но и других патологических состояний.
Так влияет ли варикоцеле на потенцию? Прямой связи специалисты в настоящий момент не обнаружили. Тем не менее, если пациент страдает от болей и иных неприятных ощущений в паховой области, он вынужден отказываться от интимной близости.
А влияет ли варикоцеле на тестостерон?
Важно понимать, что заболевание обусловлено варикозным расширением вен яичка. Прямой его связи с гормональными расстройствами не выявлено. Тем не менее в некоторых медицинских источниках отмечается, что варикоцеле может спровоцировать гормональные сбои.
Варианты хирургического лечения варикоцеле
Эмболизация
Вмешательство выполняется с применением катетера, вводимого через вену в области паха до пораженного сосуда. Блокировку вен мошонки обеспечивает специальный склерозирующий препарат. В некоторых случаях проводится повторная эмболизация. После вмешательства не остается шрамов и рубцов, так как методика не подразумевает разрезов.
Лапароскопическая перевязка
При таком методе вмешательства инструмент и видеокамера вводятся в брюшную полость. В рамках операции обеспечивается перевязка вены.
Хирургический доступ: микрохирургия яичковых вен
Микрохирургическое лигирование варикоцеле отличается высокими показателями эффективности. При этом процент осложнений является минимальным. Проводится вмешательство под общим наркозом. В рамках операции хирург делает разрез в нижней части паха и выделяет семенной канатик. Вена, которая питает варикоцеле, идентифицируется и лигируется. При этом сохраняются все важные структуры, обеспечивающие нормальное функционирование яичек.
Важно! Обычно вена перевязывается в двух местах.
Реабилитация после вмешательств обычно не занимает много времени. Рекомендации по восстановлению определяются врачом и предоставляются пациентам сразу же после операции.
Варикоцеле и бесплодие: какова связь?
Уже доказан тот факт, что варикоцеле негативно влияет на фертильность. Если патология не устраняется, мужчина может оказаться бесплодным. Проблема будет вызвана тем, что в сперме снизится число полноценных сперматозоидов вследствие перегревания яичка. Именно поэтому пациентам предлагают оперативное устранение патологии.
Важно учитывать и то, что опосредованно варикоцеле связано с уровнем тестостерона, застоем крови в мошонке, ее отечностью, перегревом из-за притока крови и кислородным голоданием ткани.
Уже через 1-2 года после вмешательства число подвижных половых клеток увеличивается вдвое. Повышается после операций и уровень тестостерона. В этом случае возможно естественное зачатие (при репродуктивном здоровье партнерши).
Надеемся, что вы разобрались в связях варикоцеле и потенции у мужчин, влиянии патологии на способность к зачатию. Если у вас возникли вопросы, задайте их нашим специалистам. Врачи МЕДСИ готовы не только провести консультацию, ответить на вопросы, как варикоцеле влияет на потенцию, но и обеспечить диагностику и лечение. Хирургические вмешательства выполняются с применением современных технологий.
Стационар МЕДСИ оснащен всем необходимым для качественного оказания медицинской помощи. Получают ее не только взрослые пациенты, но и дети, подростки.
Ребенок (если операция проводится в раннем возрасте) может находиться в палате вместе с родителем. Это обеспечивает не только максимальную эффективность лечения и ухода за пациентом, но и комфорт. Палаты оснащены всей необходимой техникой и мебелью. В стационаре обеспечивается постоянное наблюдение за пациентами. Помощь оказывается своевременно и в полном объеме.
Автор статьи: заведующий отделением урологии стационара, врач-уролог Назаров Илья Александрович.
Источники:
Евдокимов В. В., Захариков С. В., Кастрикин Ю. В. Варикоцеле у детей и подростков // Лечение и профилактика. – 2017. – № 1. – С. 53-56
Гарбузов Р. В. Ретроградная эндоваскулярная окклюзия при варикоцеле у детей и подростков: дис. – М., 2007
Гуревич А. И. и др. Варикоцеле у детей. Всегда ли нужно оперировать? // Репродуктивное здоровье детей и подростков. – 2016. – № 2 (67). – С. 66-66
Окулов А. Б. и др. Варикоцеле у детей // Детская хирургия. – 2018. – Т. 22. – № 2. – С. 88-95

Наши врачи
Назаров Илья Александрович
Врач ультразвуковой диагностики, врач-уролог, заведующий отделением-врач-уролог
Кандидат медицинских наук
Клиника МЕДСИ на Марата
Григорьев Василий Геннадьевич
Врач-детский уролог-андролог, врач-уролог
Врач высшей квалификационной категории
Клиника МЕДСИ на Марата
Глинский Владимир Михайлович
Врач ультразвуковой диагностики, заведующий кабинетом-врач-уролог, врач-уролог
Врач высшей квалификационной категории
Клиника МЕДСИ на Марата
Король Евгений Иванович
Врач-уролог
Врач высшей квалификационной категории
Клиника МЕДСИ на Марата
Показать всех врачей
Специализированные центры
Центр Компетенции «Урология, андрология и онкоурология»
Передовые технологии международного класса
Высокоточная диагностика и эндоскопические операции
Ведение пациентов с заболеваниями любой сложности
Подробнее
1/1"
2,https://spb.medsi.ru/articles/allergicheskiy-rinofaringit-u-detey/,"Оглавление
Особенности развития и формы
Лечение заболевания
Источники
Аллергический ринофарингит является воспалительным процессом в слизистой носа и глотки. Развивается он обычно на фоне контакта с аллергеном, при ОРВИ (острой респираторной вирусной инфекции) и разрастании носоглоточной миндалины. Основная опасность патологии заключается в том, что, согласно статистике, у около 40% пациентов аллергический ринофарингит предшествует бронхиальной астме.
Безусловно, родителям нужно иметь базовые представления об этом заболевании. Это позволит своевременно обратиться к врачу и начать лечение. Давайте разбираться! Рассмотрим основные особенности развития патологии и ее формы, а также подходы к лечению.
Особенности развития и формы
Огромную роль в развитии патологии играют различные экзоаллергены, к которым относят пыль и пыльцу растений, табачный дым, химические компоненты в составе косметики и средств бытовой химии.
Выделяют 2 основные формы аллергического ринофарингита:
Сезонная. Для нее характерно острое начало с частым чиханием и обильными выделениями из носа. Нередко патология сопровождается заложенностью носовых ходов и нарушением дыхания. К основному заболеванию может присоединиться и аллергический конъюнктивит. Нередко патология развивается весной, когда начинают цвести различные растения. На протяжении года ребенок может чувствовать себя хорошо
Круглогодичная. Для этой формы характерны постоянная заложенность носа со слизистыми выделениями, отсутствие обоняния, приступообразный кашель, чихание, наличие вязкой густой слизи в глотке
Также у пациентов выявляют такие признаки патологии, как першение, ощущение присутствия в глотке инородного тела, отечность и покраснение задней стенки глотки, зуд в глотке, носу и глазах. Как правило, ребенок плохо спит, испытывает слабость, жалуется на головные боли.
Важно! При первых же симптомах аллергического ринофарингита у детей нужно обратиться к врачу. Только опытный специалист может поставить точный диагноз и назначить необходимое лечение. Обязательно выявляется аллерген, контакт с которым и провоцирует признаки патологии.
Диагноз «ринофарингит» у детей может быть поставлен как аллергологом, так и оториноларингологом.
Лечение заболевания
Терапия патологии является комплексной. Пациенту назначают сосудосуживающие препараты, антигистаминные и другие средства. При тяжелом и длительном течении могут порекомендовать ингаляции, гормональные препараты, общеукрепляющую терапию. Обязательно советуют придерживаться правильного питания, регулярно проветривать помещения, где находится ребенок, обеспечивать влажную уборку и другие профилактические меры.
Надеемся, что вы поняли основные симптомы аллергического ринофарингита у детей и важность своевременного обращения к врачу. Если у вас остались вопросы, задайте их специалисту. Специалисты МЕДСИ готовы оказать комплексную поддержку всем пациентам. Они проводят необходимую диагностику и выясняют причину аллергического ринофарингита. После этого подбирается подходящее лечение. Схема терапии учитывает состояние пациента, его индивидуальные особенности, сопутствующие заболевания и иные факторы. Благодаря этому лечение является безопасным и эффективным. Кроме того, в МЕДСИ обеспечивают комфорт пациентов. Весь персонал клиник внимательно и заботливо относится к каждому ребенку.
Автор статьи: Тихомирова Ирина Анатольевна – заведующая лор-отделением, врач лор-хирург МЕДСИ на Марата.
Источники:
Каннер Е. В. и др. Современные подходы к терапии острого ринофарингита у детей // РМЖ. – 2014. – Т. 22. – № 21. – С. 1541–1543.
Сенцова Т. Б. Роль вирусов в развитии аллергических заболеваний у детей // Эффективная фармакотерапия. – 2012. – № 17. – С. 9–11.
Самсыгина Г. А. Острый ринофарингит у детей, его лечение и профилактика // Consilium Medicum. Педиатрия (Прил.). – 2013. – № 3. – С. 37–42.
Зиборова М. И. Оптимизация терапии острого ринофарингита у детей: избегая полипрагмазии // Практика педиатра. – 2014. – № 6. – С. 15–19.
Наши врачи
Тихомирова Ирина Анатольевна
Заведующий отделением-врач-оториноларинголог, заведующий кабинетом-врач-оториноларинголог
Доктор медицинских наук
Клиника МЕДСИ на Марата
Алькема Елена Владимировна
Врач-оториноларинголог
Врач первой квалификационной категории
Клиника МЕДСИ на Марата"
3,https://spb.medsi.ru/articles/anemiya-simptomy-anemii-u-detey/,"Оглавление
Когда возникает анемия у детей?
Анемия: причины в детском возрасте
Гемолитическая анемия у детей
Степени анемии, ее характеристики
Источники
Анемия у детей – патология, которая может стать следствием целого ряда заболеваний. Для такого отклонения характерно сниженное содержание в крови эритроцитов и гемоглобина. При этом кровь переносит меньше кислорода тканям, что негативно сказывается на работе организма в целом. От кислородной недостаточности и нехватки питательных веществ страдают головной мозг, сердце, легкие и многие другие органы и целые системы.
Давайте разбираться, чем опасна анемия у ребенка, почему она развивается, как проявляется? Рассмотрим и различные виды патологии, ее степени и характеристики.
Когда возникает анемия у детей?
Анемия (малокровие) – что это за болезнь у ребенка?
Как мы уже отметили, для этого патологического состояния характерно снижение уровня гемоглобина и эритроцитов в крови. Детская анемия является достаточно распространенным заболеванием в современной педиатрии. Около 40% случаев выявляют у малышей до 3 лет. Подвержены патологии и подростки.
Можно выделить 2 основные группы анемий:
Врожденные. В этом случае малыш уже рождается с патологией
Приобретенные. Такие анемии приобретаются в течение жизни. Обычно они спровоцированы дефицитом ценных веществ в питании, инфекционными заражениями, кровопотерями и отравлениями
Зачастую у детей диагностируют железодефицитную анемию. Она развивается, если в организм малыша поступает слишком мало железа.
Анемия: причины в детском возрасте
Выделяют анемии, которые развиваются:
При острых кровотечениях или постоянной кровопотере через стенки сосудов. Обычно патологии провоцируются травмами (порезами и др.). Потери крови возможны и через воспаленные участки сосудов. Анемия может быть следствием носовых и иных кровотечений
При активном разрушении эритроцитов (гемолизе). Причины таких анемий у детей связаны с особенностями самих эритроцитов и влиянием на организм внешних факторов
При сниженном синтезе эритроцитов или гемоглобина. Эти анемии являются следствием патологий костного мозга. Он просто не может образовывать необходимое количество клеток. Также такие анемии связаны с недостатком строительных материалов для гемоглобина и эритроцитов (железа, витамина B12, меди, кобальта, белка или фолатов)
Гемолитическая анемия у детей
Данный вид патологии встречается не очень часто, но для него обычно характерно тяжелое течение. Разрушение эритроцитов при гемолитической анемии происходит быстро и нередко внутри самих сосудов.
К причинам патологии относят:
Наследственные дефекты в ДНК, отражающиеся на гемоглобине или его оболочках
Нарушения формы клеток. Из-за этого они травмируются при движении по мелким сосудам
Нарушения в ферментах внутри эритроцитов. По этой причине клетки становятся чрезмерно чувствительными к токсинам, инфекциям и некоторым лекарственным препаратам
Разрушать эритроциты могут:
антитела, полученные от мамы
антитела, вырабатываемые при различных аллергических реакциях
вирусы и микробы
гемолитические яды
токсины (лаки, краски и др.)
Степени анемии, ее характеристики
Как проявляется анемия у детей? Это во многом зависит от ее тяжести и формы.
Выделяют несколько стадий анемии у детей по степени тяжести:
Легкая. При таком состоянии гемоглобин снижается до 90–110 г/л. Общее самочувствие ребенка обычно не изменяется
Среднетяжелая. Для этой формы патологии характерно сокращение показателей гемоглобина до 70–90 г/л. Ребенок будет испытывать некоторые изменения в самочувствии, связанные с хронической гипоксией (кислородной недостаточностью)
Тяжелая. Уровень гемоглобина при этой стадии анемии находится ниже 69 г/л. Состояние ребенка резко ухудшается
К основным симптомам анемии у детей относят:
побледнение кожи
ломкость и деформацию ногтей
утрату волосами здорового блеска
бледность мочек ушей при осмотре в проходящем свете
При тяжелых формах патологии обнаруживаются трещины на подошвах ног и ладонях, в уголках рта. У детей нередко развиваются глоссит и афтозный стоматит. Ребенок с анемией ослаблен и астеничен. Зачастую малыши начинают часто болеть ОРВИ, легко подхватывают острые кишечные инфекции, страдают от бронхитов и пневмоний.
Выявляют и большое количество нарушений со стороны нервной системы.
Детская анемия может проявляться:
вялостью
плаксивостью
быстрым истощением
поверхностным сном
головокружениями
снижением мышечного тонуса
быстрой утомляемостью
плохой устойчивостью даже к небольшим физическим нагрузкам
При развитии патологии возможны нарушения функции сердечно-сосудистой системы. Они проявляются обмороками, артериальной гипотонией, приступами тахикардии. Со стороны органов желудочно-кишечного тракта возможны такие проявления анемии, как срыгивания и рвота, диарея или запоры, метеоризм, снижение аппетита, увеличение печени и селезенки.
Надеемся, вы разобрались, что такое анемия у ребенка, как она проявляется и чем опасна. Если у вас остались вопросы, задайте их специалистам.
Чтобы пройти диагностику и лечение анемии у ребенка (в том числе у новорожденных детей), советуем обратиться в клинику МЕДСИ. Здесь все манипуляции проводятся опытными, квалифицированными специалистами, с использованием международных протоколов. Это повышает эффективность и безопасность процедур. Кроме того, специалисты заботятся о комфорте каждого пациента. Пребывание ребенка в стационаре возможно с родителями.
Автор статьи: Андреева Наталья Викторовна – врач-педиатр клиники МЕДСИ на Марата.
Источники:
Папаян А. В., Жукова Л. Ю. Анемии у детей // СПб.: Фолиант. – 2001.
Румянцев А. Г. Классификация и диагностика анемий у детей // Вопросы современной педиатрии. – 2011. – Т. 10. – № 1. – С. 94–102.
Соболева М. К. Железодефицитная анемия у детей раннего возраста: диагностика и современная терапия // Вопросы гематологии/онкологии и иммунопатологии в педиатрии. – 2003. – Т. 2. – № 2. – С. 32–37.
Ботвиньева В. В., Гордеева О. Б., Намазова-Баранова Л. С. Перспективы диагностики и лечения различных видов анемии у детей // Педиатрическая фармакология. – 2012. – Т. 9. – № 5. – С. 35–40.
Наши врачи"
4,https://spb.medsi.ru/articles/abstsess-legkogo-u-detey/,"Оглавление
Клиническая картина
Источники
Абсцесс легкого у детей является гнойным процессом, протекающим с образованием одной или нескольких полостей в легочной паренхиме. Он может быть следствием острой деструктивной пневмонии или проявлением сепсиса. Существенную роль в развитии патологии играет золотистый стафилококк. Безусловно, абсцесс легкого у детей является очень опасным. Поэтому всем родителям нужно знать основные его проявления. Зная, на что обратить внимание, мамы и папы смогут вовремя обратиться к врачу и не допустить осложнений. Давайте разбираться в особенностях патологии.
Клиническая картина
Абсцессы легких у детей, особенно в раннем возрасте, нередко имеют бессимптомное течение. Обнаружить патологию можно только во время рентгенографии.
Если абсцесс развивается на фоне пневмонии, основное заболевание обычно затягивается. При этом состояние ребенка ухудшается. Родители могут заметить:
побледнение кожи
нарастающую слабость
общее ухудшение самочувствия
рвоту (особенно часто встречается у грудничков)
Более взрослые дети могут жаловаться на боль в боку, одышку. При этом абсцесс сопровождается выделением гнойной мокроты, высокой температурой и сердечно-сосудистой недостаточностью.
Диагноз обычно ставится на основании клинической картины и жалоб пациента. В обязательном порядке проводится рентгенография. При необходимости назначаются другие обследования (в том числе лабораторные).
Консервативное лечение является комплексным и включает прием антибиотиков и симптоматических средств. Также при наличии гноя в легких ребенка назначают пункцию и дренаж. Оперативное лечение выполняют, если консервативное не дает желаемых результатов или нецелесообразно. Обычно требуется удаление доли легкого с гнойными очагами.
Надеемся, наша краткая статья помогла вам понять особенности абсцесса и его течения, базовые особенности диагностики и лечения патологии. Если у вас остались вопросы, задайте их врачу. Специалисты МЕДСИ готовы оказать комплексную поддержку всем пациентам.
Они проводят необходимую диагностику абсцесса легкого у детей и выясняют причину патологии. После этого подбирается подходящее лечение, которое учитывает состояние пациента, его индивидуальные особенности, сопутствующие заболевания и иные факторы. Благодаря этому принятые меры являются безопасными и эффективными. Кроме того, в МЕДСИ заботятся о комфорте пациентов. Весь персонал клиник внимательно и заботливо относится к каждому ребенку.
Автор статьи: Андреева Наталья Викторовна – врач-педиатр клиники МЕДСИ на Марата.
Источники:
Васильева Н. П. Возможности эхографии в диагностике и выборе тактики лечения абсцессов легких у детей // Ультразвуковая и функциональная диагностика. – 2005. – Т. 4. – С. 58.
Ортикбоев Ж. О., Халмухамедов Ж. А. Особенности оптимизации антибиотикотерапии при абсцессе легких у детей // Современные инновации. – 2017. – № 2 (16). – С. 70–73.
Чурилин Р. Ю. Особенности рентгенологической картины острого абсцесса легких у детей // Український радіологічний журнал. – 2008. – Т. 16. – № 4. – С. 375–379.
Грона В. Н. и др. Клинические проявления, диагностика и лечение бактериальной деструкции легких у детей // Вопросы детской хирургии, интенсивной терапии и реанимации в практике педиатра. – 2008. – № 1. – С. 10.
Наши врачи"
5,https://spb.medsi.ru/articles/atipichnaya-pnevmoniya-u-detey-prichiny-i-simptomy/,"Оглавление
Причины и особенности атипичных пневмоний
Какие симптомы у атипичной пневмонии?
Источники
Воспаление легких может развиваться у пациентов в любом возрасте. Особенно опасна пневмония у детей. Причем зачастую ее сложно диагностировать. Атипичная пневмония у детей, например, нередко протекает с нехарактерными для обычного воспаления легких симптомами. Давайте разбираться. Как и почему развивается атипичная пневмония, как распознать ее?
Причины и особенности атипичных пневмоний
Основными возбудителями атипичных пневмоний до недавнего времени были исключительно хламидии и микоплазмы. Сегодня к числу источников заражения присоединились и вирусы. Все чаще атипичная пневмония диагностируется при новой коронавирусной инфекции. К счастью, COVID-19 у маленьких пациентов протекает в основном в бессимптомной или легкой форме. Переносится инфекция воздушно-капельным путем.
Из-за сложностей диагностики поставить диагноз часто затруднительно. Как мы уже отмечали, клиническая картина при атипичной пневмонии может отличаться от стандартной при обычном воспалении легких. Поэтому при обследованиях могут применяться как лабораторные, так и инструментальные методы.
Самым информативным на сегодняшний день является анализ ПЦР на наличие РНК возбудителя. Для этого проводится исследование мокроты (более показательно/информативно) или слизи.
Какие симптомы у атипичной пневмонии?
При заболевании у детей возникают:
Повышение температуры тела. Нередко сначала оно является резким, а затем температура снижается до нормальных показателей
Признаки интоксикации. Обычно они являются умеренными, но тем не менее доставляют ребенку дискомфорт. Малыши могут жаловаться на боль в голове, мышцах, общую слабость, отказываться от пищи. У крох родители замечают сонливость
Затруднения при вдохе
Сухой кашель (нередко с приступами)
Также можно отметить признаки отита и конъюнктивита. Родители замечают выделения гноя из ушей и глаз, слезоточивость, острую реакцию на свет.
К внелегочным симптомам атипичной пневмонии у детей также относят:
Отечность лимфатических узлов на шее
Высыпания на теле
Увеличение селезенки и печени
Для инфекции обычно нехарактерна дыхательная недостаточность, тем не менее в некоторых случаях она проявляется.
Важно! Самой неявно выраженной клиническая картина при атипичной пневмонии является у грудных детей. Обычно возможны только легкие покашливания и незначительное повышение температуры тела. Заподозрить, что малыш болен, можно по таким косвенным признакам, как отказ от груди, частые срыгивания, беспокойство. Как можно скорее обратиться к врачу нужно при сниженном тонусе мышц, посинении носогубного треугольника, усиленной жажде. Следует понимать, что в этом случае можно быстро устранить патологию и обеспечить нормальное дальнейшее развитие и рост крохи без опасных осложнений.
Надеемся, что вы разобрались в симптомах атипичной пневмонии у детей. Если у вас остались вопросы, задавайте их специалистам. Обратившись в клинику МЕДСИ, вы точно получите необходимую поддержку. Педиатры порекомендуют препараты против атипичной пневмонии для детей любого возраста, расскажут о необходимых дозировках и курсах.
Кроме того, врачи проконтролируют прием и обеспечат не только эффективное, но и безопасное, комфортное лечение. Немаловажно и то, что в МЕДСИ имеются все возможности для ранней диагностики патологии. Если ребенка поместят в стационар, он сможет находиться в нем вместе с родителем.
Автор статьи: Андреева Наталья Викторовна – врач-педиатр клиники МЕДСИ на Марата.
Источники:
Юлиш Е. И. и др. Типичное течение атипичных пневмоний у детей // Здоровье ребенка. – 2014. – № 5 (56). – С. 78–82.
Горбич О. А. Атипичная пневмония – значимая проблема детского возраста. – 2016.
Дрокина О. Н. и др. Атипичные пневмонии у детей // Актуальные проблемы медицины. – 2021. – С. 293–296.
Бакрадзе М. Д. и др. О проблемах диагностики и лечения пневмоний у детей // Педиатрическая фармакология. – 2015. – Т. 12. – № 3. – С. 354–359.
Наши врачи"
